Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7292110874200426,0.49411764705882355,0.786096256684492,0.6068111455108359,0.842609656729012
Random Forest,0.7953091684434968,0.6414473684210527,0.5213903743315508,0.5752212389380531,0.8257838909567172
Gradient Boosting,0.798862828713575,0.6435331230283912,0.5454545454545454,0.5904486251808972,0.84791195365764
